movie_id,title,release_year,imdb_rating,languages,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
tt13793230,Jaadugar,2022.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt0213890,Mohabbatein,2000.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt31226272,Do Deewane Seher Mein,2026.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt37443891,Raat Akeli Hai - The Bansal Murders,2025.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt28102562,Thamma,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt1182937,Rab Ne Bana Di Jodi,2008.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt9104736,Housefull 5,2025.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt6588966,Hichki,2018.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1562871,Ra.One,2011.0,,Hindi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tt2016894,Ek Tha Tiger,2012.0,,Hindi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tt10028196,Laal Singh Chaddha,2022.0,,Hindi,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt27922706,Chhaava,2025.0,,Hindi,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt7142506,Sir,2018.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
tt2510874,Yamla Pagla Deewana 2,2013.0,,Hindi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt10083340,Gangubai Kathiawadi,2022.0,,Hindi,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt0347473,Main Hoon Na,2004.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt30176955,Vadh 2,2026.0,,Hindi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt8108198,Andhadhun,2018.0,,Hindi,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
tt2461132,Happy New Year,2014.0,,Hindi,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt10786774,Sam Bahadur,2023.0,,Hindi,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
tt32223398,Jaat,2025.0,,Hindi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt15428134,Dunki,2023.0,,Hindi,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt37161355,Daadi Ki Shaadi,2026.0,,Hindi,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt26229612,The Diplomat,2025.0,,Hindi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt29330913,Vicky Vidya Ka Woh Wala Video,2024.0,,Hindi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt36201830,System,2026.0,,Hindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt29247040,Baramulla,2025.0,,Hindi,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt27852049,Deva,2025.0,,Hindi,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
